hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,arrival_date_week_number,stays_in_week_nights,stays_in_weekend_nights,adults,children,babies,meal,country,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
Sunset Inn,FALSO,73,2017,2,24,8,4,0,7,1,1,FB,Philippines,VERDADERO,,,E,E,4,No deposit,10,Transient,FALSO,8,Canceled,17-08-2016,Hayes Chastenet,hchastenet0@toplist.cz,(936) 892-1758,3556971102639920
Sunset Inn,FALSO,96,2018,3,30,12,23,8,9,3,2,HB,China,VERDADERO,,10,D,D,8,Credit card deposit,1,Contract,VERDADERO,10,No-Show,16/12/2015,Rodd Ballard,rballard1@diigo.com,988.572.8458,3570767359006370
Mountain View Lodge,VERDADERO,86,2016,7,31,28,21,8,9,3,2,FB,Bulgaria,VERDADERO,6,1,G,G,10,No deposit,9,Contract,VERDADERO,4,Canceled,19-04-2015,Martynne Silley,msilley2@yahoo.co.jp,(757) 475-4112,3576994963558730
Sunset Inn,FALSO,94,2017,7,28,28,14,4,3,1,,HB,Indonesia,VERDADERO,,1,F,F,1,Cash deposit,4,Transient,VERDADERO,1,Canceled,10.03.2017,Berny Vevers,bvevers3@shareasale.com,(632) 019-9182,5018182000518020
Golden Sands Hotel,FALSO,58,2020,4,3,13,7,2,1,,,BB,Greece,VERDADERO,,0,D,D,9,No deposit,4,Transient-Party,FALSO,6,Canceled,13-08-2016,Nichole Hencke,nhencke4@hubpages.com,167.827.5041,4442710997511
Mountain View Lodge,FALSO,40,2019,3,6,9,28,10,8,5,2,FB,Indonesia,,5,5,D,D,,Debit car deposit,0,Transient-Party,FALSO,10,No-Show,12.21.2019,Crissy Kirke,ckirke5@samsung.com,(584) 520-9637,5602217691970740
Golden Sands Hotel,FALSO,63,2019,7,23,28,15,6,5,2,1,BB,Philippines,VERDADERO,6,,A,A,,No deposit,9,Transient,VERDADERO,9,No-Show,20/01/2019,Frannie Mathews,fmathews6@cdbaby.com,622-205-0878,3565646509105460
Sunset Inn,VERDADERO,51,2019,3,16,11,26,10,8,,5,HB,Czech Republic,VERDADERO,2,9,D,D,1,No deposit,6,Transient,,5,Canceled,23/08/2020,Josie Morford,jmorford7@github.com,+1 (181) 392-7364,3543437334395420
Mountain View Lodge,FALSO,10,2016,1,13,2,17,6,7,3,,BB,Swaziland,FALSO,0,10,G,G,1,Cash deposit,8,Contract,FALSO,10,Check-Out,11/11/2016,Daile Skett,dskett8@wikia.com,+1 (717) 859-3446,3560318556814820
Sunset Inn,FALSO,2,2018,2,20,7,16,6,3,1,4,FB,Portugal,FALSO,4,8,A,A,10,Credit card deposit,9,Transient,VERDADERO,2,Canceled,20-09-2016,Clem Silmon,csilmon9@woothemes.com,(225) 647-4370,3585742146995930
Golden Sands Hotel,VERDADERO,20,2017,7,28,28,1,0,3,3,,HB,France,VERDADERO,0,7,A,A,10,Cash deposit,9,Transient-Party,VERDADERO,8,Canceled,26-11-2020,Shel Shakespeare,sshakespearea@wordpress.org,+1 (753) 641-0451,3533146195923960
